date,pnl,daily_pnl,state,acct_pnl,actual_balance,bankroll,pa_days,pa_wins,payout_num,eval_days,tag
2017-03-15,-420,-420,pa,1112.0,26112.0,-86,8,3,1,0,pa_trade
2017-03-20,-420,-420,pa,692.0,25692.0,-86,9,3,1,0,pa_trade
2017-03-21,-420,-420,pa,272.0,25272.0,-86,10,3,1,0,pa_trade
2017-03-22,-420,0,resetting,0.0,0.0,-126,0,0,0,0,"pa_failed_trailing_dd (PnL: $-148, threshold: $100)"
2017-03-27,704,704,eval,704.0,704.0,-126,0,0,0,5,eval_trade
2017-03-28,704,704,eval,1408.0,1408.0,-126,0,0,0,6,eval_trade
2017-03-29,-420,-420,eval,988.0,988.0,-126,0,0,0,7,eval_trade
2017-04-05,-420,-420,eval,568.0,568.0,-126,0,0,0,14,eval_trade
2017-04-06,704,704,eval,1272.0,1272.0,-126,0,0,0,15,eval_trade
2017-04-10,704,704,pa,0.0,25000.0,-231,0,0,0,0,passed_eval
2017-04-11,-420,-420,pa,-420.0,24580.0,-231,1,0,0,0,pa_trade
2017-04-18,704,704,pa,284.0,25284.0,-231,2,1,0,0,pa_trade
2017-04-20,704,704,pa,988.0,25988.0,-231,3,2,0,0,pa_trade
2017-04-27,704,704,pa,1692.0,26692.0,-231,4,3,0,0,pa_trade
2017-05-01,704,704,pa,2396.0,27396.0,-231,5,4,0,0,pa_trade
2017-05-16,704,704,pa,3100.0,28100.0,-231,6,5,0,0,pa_trade
2017-05-24,704,704,pa,3804.0,28804.0,-231,7,6,0,0,pa_trade
2017-05-25,704,704,pa,3008.0,28008.0,1269,0,0,1,0,payout_1_$1500
2017-05-29,-420,-420,pa,2588.0,27588.0,1269,1,0,1,0,pa_trade
2017-05-30,-420,-420,pa,2168.0,27168.0,1269,2,0,1,0,pa_trade
2017-06-05,-420,-420,pa,1748.0,26748.0,1269,3,0,1,0,pa_trade
2017-06-07,-420,-420,pa,1328.0,26328.0,1269,4,0,1,0,pa_trade
2017-06-14,704,704,pa,2032.0,27032.0,1269,5,1,1,0,pa_trade
2017-06-19,-420,-420,pa,1612.0,26612.0,1269,6,1,1,0,pa_trade
2017-06-27,-420,-420,pa,1192.0,26192.0,1269,7,1,1,0,pa_trade
2017-06-29,-420,-420,pa,772.0,25772.0,1269,8,1,1,0,pa_trade
2017-07-03,-420,-420,pa,352.0,25352.0,1269,9,1,1,0,pa_trade
2017-07-04,-420,0,resetting,0.0,0.0,1229,0,0,0,0,"pa_failed_trailing_dd (PnL: $-68, threshold: $100)"
2017-07-10,-420,-420,eval,-420.0,-420.0,1229,0,0,0,6,eval_trade
2017-07-12,704,704,eval,284.0,284.0,1229,0,0,0,8,eval_trade
2017-07-19,-420,-420,eval,-136.0,-136.0,1229,0,0,0,15,eval_trade
2017-07-26,-420,-420,eval,-556.0,-556.0,1229,0,0,0,22,eval_trade
2017-07-27,-420,-420,eval,-976.0,-976.0,1229,0,0,0,23,eval_trade
2017-08-01,-420,0,resetting,0.0,0.0,1189,0,0,0,0,eval_failed_trailing_dd
2017-08-03,-420,-420,eval,-420.0,-420.0,1189,0,0,0,2,eval_trade
2017-08-08,704,704,eval,284.0,284.0,1189,0,0,0,7,eval_trade
2017-08-14,-420,-420,eval,-136.0,-136.0,1189,0,0,0,13,eval_trade
2017-08-21,704,704,eval,568.0,568.0,1189,0,0,0,20,eval_trade
2017-08-30,704,704,eval,1272.0,1272.0,1189,0,0,0,29,eval_trade
2017-09-05,-420,-420,resetting,0.0,0.0,1149,0,0,0,0,eval_expired_30days
2017-09-11,-420,-420,eval,-420.0,-420.0,1149,0,0,0,6,eval_trade
2017-09-19,704,704,eval,284.0,284.0,1149,0,0,0,14,eval_trade
2017-09-21,704,704,eval,988.0,988.0,1149,0,0,0,16,eval_trade
2017-09-25,-420,-420,eval,568.0,568.0,1149,0,0,0,20,eval_trade
2017-09-26,704,704,eval,1272.0,1272.0,1149,0,0,0,21,eval_trade
2017-09-27,704,704,pa,0.0,25000.0,1044,0,0,0,0,passed_eval
2017-10-02,-420,-420,pa,-420.0,24580.0,1044,1,0,0,0,pa_trade
2017-10-05,704,704,pa,284.0,25284.0,1044,2,1,0,0,pa_trade
2017-10-10,704,704,pa,988.0,25988.0,1044,3,2,0,0,pa_trade
2017-10-12,-420,-420,pa,568.0,25568.0,1044,4,2,0,0,pa_trade
2017-10-16,-420,-420,pa,148.0,25148.0,1044,5,2,0,0,pa_trade
